symbol,sector,last_price
A,Healthcare,111.69999694824219
AA,Basic Materials,62.529998779296875
AAMI,Financial Services,68.81999969482422
AAPL,Technology,300.2300109863281
AARD,Healthcare,4.570000171661377
AAT,Real Estate,20.770000457763672
ABAT,Industrials,3.130000114440918
ABBV,Healthcare,210.38999938964844
ABCB,Financial Services,82.55999755859375
ABM,Industrials,39.380001068115234
ABNB,Consumer Cyclical,132.85000610351562
ABOS,Healthcare,2.2799999713897705
ABT,Healthcare,84.47000122070312
ACET,Healthcare,7.679999828338623
ACGL,Financial Services,93.9800033569336
ACHC,Healthcare,25.809999465942383
ACHR,Industrials,6.050000190734863
ACI,Consumer Defensive,16.399999618530273
ACIU,Healthcare,2.7899999618530273
ACMR,Technology,63.66999816894531
ACN,Technology,168.82000732421875
ACNB,Financial Services,52.029998779296875
ACNT,Basic Materials,13.899999618530273
ACOG,Healthcare,6.019999980926514
ACON,Healthcare,3.1600000858306885
ACRE,Real Estate,4.599999904632568
ACRS,Healthcare,4.519999980926514
ACT,Financial Services,43.02000045776367
ACTG,Industrials,4.579999923706055
ACTU,Healthcare,2.619999885559082
ACVA,Consumer Cyclical,5.920000076293945
ACXP,Healthcare,1.9199999570846558
ADBE,Technology,247.60000610351562
ADGM,Healthcare,0.8600000143051147
ADI,Technology,417.489990234375
ADMA,Healthcare,8.270000457763672
ADP,Technology,214.47999572753906
ADSK,Technology,236.6199951171875
ADT,Industrials,6.829999923706055
AEE,Utilities,106.36000061035156
AEHR,Technology,99.5
AEM,Basic Materials,180.3300018310547
AENT,Communication Services,6.699999809265137
AEP,Utilities,125.1500015258789
AES,Utilities,14.470000267028809
AESI,Energy,18.8700008392334
AFBI,Financial Services,22.459999084472656
AFL,Financial Services,116.80999755859375
AGCO,Industrials,113.27999877929688
AGEN,Healthcare,3.5799999237060547
AGH,Consumer Cyclical,4.329999923706055
AGIO,Healthcare,28.170000076293945
AGM,Financial Services,173.30999755859375
AGO,Financial Services,74.87999725341797
AHR,Real Estate,49.349998474121094
AHT,Real Estate,2.890000104904175
AI,Technology,8.649999618530273
AIG,Financial Services,76.11000061035156
AII,Financial Services,17.06999969482422
AIMD,Technology,1.7000000476837158
AIN,Consumer Cyclical,60.650001525878906
AIRE,Real Estate,2.1600000858306885
AISP,Technology,2.4000000953674316
AIT,Industrials,307.1700134277344
AIZ,Financial Services,254.61000061035156
AJG,Financial Services,199.9499969482422
AKAM,Technology,150.8800048828125
AKO-B,Consumer Defensive,27.850000381469727
AL,Industrials,65.0
ALB,Basic Materials,180.3800048828125
ALCO,Consumer Defensive,40.16999816894531
ALGM,Technology,43.099998474121094
ALGN,Healthcare,157.25
ALIT,Technology,0.7860000133514404
ALL,Financial Services,217.3699951171875
ALLR,Healthcare,1.350000023841858
ALRM,Technology,42.52000045776367
ALSN,Consumer Cyclical,116.98999786376953
ALTO,Basic Materials,4.670000076293945
ALTS,Technology,1.0099999904632568
ALUR,Healthcare,0.8510000109672546
AM,Energy,21.979999542236328
AMAL,Financial Services,39.68000030517578
AMAT,Technology,436.6199951171875
AMBQ,Technology,70.56999969482422
AMCX,Communication Services,8.300000190734863
AMD,Technology,424.1000061035156
AMG,Financial Services,293.9100036621094
AMGN,Healthcare,326.30999755859375
AMIX,Healthcare,0.32499998807907104
AMOD,Technology,0.2150000035762787
AMP,Financial Services,470.3800048828125
AMPL,Technology,6.059999942779541
AMRX,Healthcare,11.930000305175781
AMT,Real Estate,170.6300048828125
AMTB,Financial Services,22.299999237060547
AMTM,Industrials,22.979999542236328
AMTX,Basic Materials,2.2899999618530273
AMWD,Consumer Cyclical,35.33000183105469
AMWL,Healthcare,7.570000171661377
AMZN,Consumer Cyclical,264.1400146484375
AN,Consumer Cyclical,184.14999389648438
ANDE,Consumer Defensive,71.45999908447266
ANET,Technology,141.97000122070312
ANF,Consumer Cyclical,70.56999969482422
ANGX,Communication Services,2.700000047683716
ANRO,Healthcare,22.979999542236328
ANTX,Healthcare,4.75
AON,Financial Services,317.2200012207031
AOS,Industrials,56.0099983215332
APA,Energy,38.97999954223633
APD,Basic Materials,295.3800048828125
APG,Industrials,43.25
APGE,Healthcare,81.13999938964844
APH,Technology,125.0
APLD,Technology,42.560001373291016
APO,Financial Services,135.3800048828125
APOG,Industrials,34.0099983215332
APP,Communication Services,501.0
APVO,Healthcare,4.769999980926514
APYX,Healthcare,4.050000190734863
AQB,Consumer Defensive,0.8849999904632568
AQMS,Industrials,4.119999885559082
AQST,Healthcare,4.170000076293945
AR,Energy,38.2400016784668
ARAI,Technology,0.6710000038146973
ARDT,Healthcare,10.100000381469727
ARDX,Healthcare,6.230000019073486
ARE,Real Estate,44.970001220703125
AREB,Consumer Cyclical,0.04399999976158142
AREC,Basic Materials,2.200000047683716
ARES,Financial Services,123.41000366210938
ARKR,Consumer Cyclical,6.590000152587891
ARL,Real Estate,13.260000228881836
ARLO,Industrials,12.319999694824219
ARMK,Industrials,53.08000183105469
ARRY,Technology,8.970000267028809
ARTL,Healthcare,1.840000033378601
ARTV,Healthcare,9.779999732971191
ARW,Technology,208.3699951171875
ARWR,Healthcare,76.66999816894531
ASAN,Technology,6.199999809265137
ASBP,Healthcare,5.610000133514404
ASGN,Technology,17.959999084472656
ASIC,Financial Services,19.829999923706055
ASPN,Industrials,5.599999904632568
ASRV,Financial Services,3.8299999237060547
ASTC,Technology,2.5399999618530273
ASTE,Industrials,47.040000915527344
ASTS,Technology,83.66999816894531
ASUR,Technology,8.529999732971191
ATEN,Technology,27.950000762939453
ATI,Industrials,154.22000122070312
ATLC,Financial Services,77.16000366210938
ATLO,Financial Services,27.510000228881836
ATLX,Basic Materials,4.289999961853027
ATNI,Communication Services,26.389999389648438
ATO,Utilities,176.47999572753906
ATON,Financial Services,0.33059999346733093
ATRA,Healthcare,9.579999923706055
ATRC,Healthcare,28.1200008392334
ATRO,Industrials,78.58999633789062
AUID,Technology,1.1699999570846558
AUR,Consumer Cyclical,7.710000038146973
AVAH,Healthcare,7.71999979019165
AVAV,Industrials,158.0
AVB,Real Estate,180.83999633789062
AVBC,Financial Services,18.8799991607666
AVGO,Technology,425.19000244140625
AVNT,Basic Materials,33.77000045776367
AVTR,Healthcare,7.619999885559082
AVXL,Healthcare,2.9100000858306885
AVY,Consumer Cyclical,156.2100067138672
AWK,Utilities,124.29000091552734
AWRE,Technology,1.2699999809265137
AX,Financial Services,83.18000030517578
AXGN,Healthcare,40.9900016784668
AXON,Industrials,391.8800048828125
AXP,Financial Services,313.4800109863281
AXSM,Healthcare,227.72000122070312
AYTU,Healthcare,2.190000057220459
AZO,Consumer Cyclical,3321.14990234375
BA,Industrials,220.49000549316406
BAC,Financial Services,49.77000045776367
BAER,Industrials,1.6699999570846558
BALL,Consumer Cyclical,55.20000076293945
